------- 1 - Términos	BI2024
English - lengua fuente	Español - lengua meta	BI2024
abdominal breathing	respiración diafragmática	BI2024
abdominal girth	perímetro abdominal	BI2024
ability to drive and use machines	capacidad para conducir y usar máquinas	BI2024
absolute bioavailability	biodisponibilidad absoluta	BI2024
absolute structure	estructura absoluta	BI2024
absorbance	absorbancia	BI2024
absorbance factor	factor de absorbancia	BI2024
absorption	absorción	BI2024
absorption band	banda de absorción	BI2024
absorption, distribution, metabolism, excretion	absorción, distribución, metabolismo, y eliminación	BI2024
absorptivity coefficient	coeficiente de absortividad	BI2024
acacia	goma arábiga 	BI2024
accelerated stability studies	estudios de estabilidad en condiciones aceleradas	BI2024
acceptable quality levels	niveles aceptables de calidad	BI2024
acceptance criterion	criterio de aceptación	BI2024
acceptance criteria 	criterios de aceptación	BI2024
accumulation factor	factor de acumulación	BI2024
accuracy	exactitud	BI2024
acentric fragment	fragmento acéntrico	BI2024
acesulfame potassium	acesulfamo potásico	BI2024
acetanilide	acetanilida	BI2024
acetic acid glacial	ácido acético glacial	BI2024
acetic anhydride	anhídrido acético	BI2024
acetone	acetona	BI2024
acetonitrile	acetonitrilo	BI2024
acetylsalicylic acid	 ácido acetilsalicílico	BI2024
ache	dolor	por lo general, es un dolor continuo y fijo en la cabeza, la espalda, los oídos, las muelas o el estómago; ver pain)	BI2024
achieved concentration	concentración alcanzada	BI2024
acid stressed sample	muestra sometida a alteración química por ácido	BI2024
acidic peak group	grupo de picos de especies ácidas	BI2024
acidic solution	solución ácida	BI2024
acidifier	acidificante	BI2024
acquired immunodeficiency syndrome	síndrome de inmunodeficiencia adquirida  	BI2024
activated partial thromboplastin time 	tiempo de tromboplastina parcial activada 	BI2024
activating mutation	mutación activadora 	BI2024
active aluminium oxide, acid	aluminio óxido activo ácido	BI2024
active comparator	comparador activo	BI2024
active entity	entidad activa	BI2024
active ingredient content	contenido del principio activo	BI2024
active ingredient degradation	degradación del principio activo	BI2024
active ingredient yield	rendimiento de principio activo	BI2024
active metabolite	metabolito activo	BI2024
active pharmaceutical ingredient	ingrediente farmacéutico activo	BI2024
active pharmaceutical ingredient	principio activo	BI2024
active substance	principio activo	BI2024
drug substance	principio activo	BI2024
active ingredient	principio activo	BI2024
active treatments group	grupo de tratamiento activo	BI2024
active tuberculosis infection	infección de tuberculosis activa 	BI2024
actual impurities	impurezas reales	BI2024
actuate	pulsar, accionar	BI2024
actuation	accionamiento, pulsación	un aerosol)	BI2024
acute coronary syndrome	síndrome coronario agudo	BI2024
acute flare	brote agudo 	BI2024
flare	brote agudo 	BI2024
add 	agregar	BI2024
addendum	anexo/s	BI2024
addenda	anexo/s	BI2024
additive	aditivo	BI2024
adenosine diphosphate	adenosina difosfato	BI2024
adenosine triphosphate	adenosina trifosfato	BI2024
adjudicate	evaluar	BI2024
adjudication committee	comité evaluador	BI2024
adjuvant	auxiliar	BI2024
adjuvant	complementario	BI2024
adjuvant therapy	tratamiento complementario	BI2024
adjuvant therapy	tratamiento posquirúrgico	BI2024
administer by gavage	administrar por sonda nasogástrica	BI2024
administer orally	administrar por vía oral 	BI2024
administration	administración 	BI2024
adrenal glands	glándulas suprarrenales	BI2024
adrenoreceptor	adrenorreceptor	BI2024
adriamycin	adriamicina	BI2024
adsorption	adsorción	BI2024
advanced compartment absorption and transit	absorción y tránsito gastrointestinal en compartimentos, versión avanzada   	BI2024
advanced compartment absorption and transit model [ACAT model] 	modelo de absorción y tránsito gastrointestinal en compartimentos, versión avanzada [modelo ACAT] 	BI2024
adventitious agent	agente fortuito	BI2024
adverse drug reaction	reacción adversa al medicamento	BI2024
adverse event	evento adverso	BI2024
adverse reaction	reacción adversa	BI2024
aeration	aireación	referida a un compuesto)	BI2024
aerodynamic fine particle 	partícula fina y aerodinámica	BI2024
aflatoxin	aflatoxina	BI2024
agglomerates	grumos	referido a las partículas)	BI2024
aggregometer	agregómetro	BI2024
agreement factors	factores de concordancia 	BI2024
air flow rate	velocidad del flujo de aire	BI2024
air jet sieve	tamizadora a chorro de aire	BI2024
air supply	suministro de aire	BI2024
air supply tube	tubo de suministro de aire	BI2024
air-dry	secar al aire 	BI2024
airflow limitation	limitación del flujo de aire	BI2024
airway	vías respiratorias	BI2024
airway obstruction	obstrucción de las vías respiratorias	BI2024
obstruction of airways	obstrucción de las vías respiratorias	BI2024
Akaike information criterion	criterio de información de Akaike	BI2024
alanine aminotransferase	alanina aminotransferasa	BI2024
albino rat	rata albina	BI2024
albumin/globulin [A/G]	albúmina/globulina [A/G]	BI2024
albumin/globulin ratio	relación albúmina-globulina	BI2024
aldehyde	aldehído	BI2024
aldolase	aldolasa	BI2024
aliphatic 	alifático	BI2024
aliquots of the solutions	alícuotas de las soluciones	BI2024
alizarin red 	rojo alizarina 	BI2024
alkali metals	metales alcalinos	BI2024
alkaline earths	metales alcalinotérreos	BI2024
alkaline phosphatase	fosfatasa alcalina	BI2024
alkyne	alquino	BI2024
allergen 	alergeno	BI2024
all-rac-alpha-tocopheryl acetate 	alfa-tocoferol todo racémico	BI2024
alpha tocopherol acetate	alfa-tocoferol acetato	BI2024
