------- 1 - Términos	BI2024
Español - lengua meta	English - lengua fuente	BI2024
respiración diafragmática	abdominal breathing	BI2024
perímetro abdominal	abdominal girth	BI2024
capacidad para conducir y usar máquinas	ability to drive and use machines	BI2024
biodisponibilidad absoluta	absolute bioavailability	BI2024
estructura absoluta	absolute structure	BI2024
absorbancia	absorbance	BI2024
factor de absorbancia	absorbance factor	BI2024
absorción	absorption	BI2024
banda de absorción	absorption band	BI2024
absorción, distribución, metabolismo, y eliminación	absorption, distribution, metabolism, excretion	BI2024
coeficiente de absortividad	absorptivity coefficient	BI2024
goma arábiga 	acacia	BI2024
estudios de estabilidad en condiciones aceleradas	accelerated stability studies	BI2024
niveles aceptables de calidad	acceptable quality levels	BI2024
criterio de aceptación	acceptance criterion	BI2024
criterios de aceptación	acceptance criteria 	BI2024
factor de acumulación	accumulation factor	BI2024
exactitud	accuracy	BI2024
fragmento acéntrico	acentric fragment	BI2024
acesulfamo potásico	acesulfame potassium	BI2024
acetanilida	acetanilide	BI2024
ácido acético glacial	acetic acid glacial	BI2024
anhídrido acético	acetic anhydride	BI2024
acetona	acetone	BI2024
acetonitrilo	acetonitrile	BI2024
 ácido acetilsalicílico	acetylsalicylic acid	BI2024
dolor	ache	por lo general, es un dolor continuo y fijo en la cabeza, la espalda, los oídos, las muelas o el estómago; ver pain)	BI2024
concentración alcanzada	achieved concentration	BI2024
muestra sometida a alteración química por ácido	acid stressed sample	BI2024
grupo de picos de especies ácidas	acidic peak group	BI2024
solución ácida	acidic solution	BI2024
acidificante	acidifier	BI2024
síndrome de inmunodeficiencia adquirida  	acquired immunodeficiency syndrome	BI2024
tiempo de tromboplastina parcial activada 	activated partial thromboplastin time 	BI2024
mutación activadora 	activating mutation	BI2024
aluminio óxido activo ácido	active aluminium oxide, acid	BI2024
comparador activo	active comparator	BI2024
entidad activa	active entity	BI2024
contenido del principio activo	active ingredient content	BI2024
degradación del principio activo	active ingredient degradation	BI2024
rendimiento de principio activo	active ingredient yield	BI2024
metabolito activo	active metabolite	BI2024
ingrediente farmacéutico activo	active pharmaceutical ingredient	BI2024
principio activo	active pharmaceutical ingredient	BI2024
principio activo	active substance	BI2024
principio activo	drug substance	BI2024
principio activo	active ingredient	BI2024
grupo de tratamiento activo	active treatments group	BI2024
infección de tuberculosis activa 	active tuberculosis infection	BI2024
impurezas reales	actual impurities	BI2024
pulsar, accionar	actuate	BI2024
accionamiento, pulsación	actuation	un aerosol)	BI2024
síndrome coronario agudo	acute coronary syndrome	BI2024
brote agudo 	acute flare	BI2024
brote agudo 	flare	BI2024
agregar	add 	BI2024
anexo/s	addendum	BI2024
anexo/s	addenda	BI2024
aditivo	additive	BI2024
adenosina difosfato	adenosine diphosphate	BI2024
adenosina trifosfato	adenosine triphosphate	BI2024
evaluar	adjudicate	BI2024
comité evaluador	adjudication committee	BI2024
auxiliar	adjuvant	BI2024
complementario	adjuvant	BI2024
tratamiento complementario	adjuvant therapy	BI2024
tratamiento posquirúrgico	adjuvant therapy	BI2024
administrar por sonda nasogástrica	administer by gavage	BI2024
administrar por vía oral 	administer orally	BI2024
administración 	administration	BI2024
